"","Axis.1","Axis.2"
"FAY_30502",-0.329807059283238,-0.0721942595643125
"FAY_30503",-0.270317057562363,0.316487587224776
"FAY_30504",-0.223834054748401,0.0312521263684937
"FAY_30505",-0.242882802206878,0.0375067471680741
"FAY_30506",-0.277310607714822,0.0025390390444249
"FAY_30507",-0.227804494943789,-0.0148124453660148
"FAY_30509",-0.283994290855206,0.0827662406428652
"FAY_30511",-0.316751682026138,-0.126690821823188
"FAY_30512",-0.260052302704374,0.124486485254231
"FAY_30513",-0.23028505896858,0.190299952927264
"FAY_30514",-0.317033148358498,0.146747601915417
"FAY_30515",-0.283796850012752,-0.0708490673424289
"FAY_30516",-0.247724242423244,0.0271372413083855
"FAY_30519",-0.306723401271816,0.151433457420789
"FAY_30520",-0.0384161933331335,0.0613674516982879
"FAY_30521",-0.190972306956741,0.0580356407682736
"FAY_30522",-0.312846133240279,0.197838086128726
"FAY_30523",-0.210932818208215,0.0362529119887769
"FAY_30524",-0.234776028426973,-0.0428501675113016
"FAY_30525",-0.266150972613251,0.0145488696574375
"FAY_30527",-0.312914494407495,-0.00184647827052975
"FAY_30528",-0.26805071499103,0.286940408092003
"FAY_30531",-0.27542065288505,0.216119567921977
"FAY_30532",-0.235317650015185,0.042661699985782
"FAY_30533",-0.0768740218291713,0.0493988434771983
"FAY_30535",-0.160591632532865,0.0273855464659994
"FAY_30536",-0.261567288872246,0.0241829462294301
"FAY_30537",-0.357551559631355,0.132677832722337
"FAY_30538",-0.352792275798313,-0.0437739269861595
"FAY_30541",-0.318230976961766,0.018113586624422
"FAY_30542",-0.192716999598354,0.0937671775956423
"FAY_30544",-0.291001268253559,0.335880943856505
"FAY_30545",-0.344793604682919,-0.0702020360073483
"FAY_30546",-0.31702776707109,-0.113094477053085
"FAY_30548",-0.0387804276574949,-0.00454652897321238
"FAY_30549",-0.266280481333446,0.0785060612895261
"FAY_30550",-0.329808416159993,-0.0690668432095949
"FAY_30551",-0.196686217183392,0.00487920108152926
"FAY_30553",-0.16557165070595,0.0742362835996189
"FAY_30555",-0.25618988632047,0.0547274234210569
"FAY_30556",-0.295052841105737,-0.00185882872195638
"FAY_30558",-0.41424056561605,-0.197346813023455
"FAY_30559",-0.0397016540302714,-0.0225831581258384
"FAY_30560",-0.289400129672806,0.287873682047592
"FAY_30562",-0.283164902898772,0.027234108603057
"FAY_30563",-0.269262844580979,0.0111455068327309
"FAY_30564",-0.32124885073269,0.0868863923229574
"FAY_30565",-0.237795951259307,-0.000798984981633337
"FAY_30566",-0.228484133839513,0.0451844822951329
"FAY_30567",-0.210019209485375,0.157817373153984
"FAY_30569",-0.30741983041492,0.0553223072157838
"FAY_30570",-0.287687895257702,0.252928111760118
"FAY_30572",-0.243539515207959,0.0618966315024067
"FAY_30573",-0.287460868917846,-0.0405340675924974
"FAY_30574",-0.33056746416544,0.00220555135384476
"FAY_30575",-0.294600743709526,0.252010979698143
"FAY_30576",-0.240376343879331,0.0183998768302474
"FAY_30577",-0.273338856948735,0.0572481395558789
"FAY_30578",-0.250804577382743,0.05499617443226
"FAY_30579",-0.325274349491895,-0.0773171441873914
"FAY_30580",-0.104489885102474,0.0365468772899218
"FAY_30581",-0.324871434226594,-0.0468919682972457
"FAY_30582",-0.281056247313007,0.0618517208070047
"FAY_30584",-0.238284216478992,0.0191153793655231
"FAY_30585",-0.287580091899634,-0.0255887350226473
"FAY_30586",-0.112196912638099,0.0968865157849308
"FAY_30587",-0.293685091335295,-0.209427360810285
"FAY_30588",-0.267290084401704,0.0539548625714909
"FAY_30589",-0.294350893073507,0.337858548032323
"FAY_30591",-0.252501359151925,0.0580355622309259
"FAY_30592",-0.354031640997081,0.164657624977589
"FAY_30593",-0.348449383582745,-0.169522708738332
"FAY_30595",-0.221151826193837,0.00520427671149304
"FAY_30597",-0.0725666344570395,0.0469215159053707
"FAY_30598",-0.315587266800562,0.0441428881368173
"FAY_30600",-0.176860017204861,0.032938064158724
"FAY_30601",-0.214633035066605,0.0408323057012975
"FAY_30602",-0.235274505601151,0.0590762250129328
"FAY_30604",-0.289548884900871,-0.0157451329339533
"FAY_30605",-0.117321702108568,0.0292682839534153
"FAY_30611",-0.264350098929475,-0.00665887802919263
"FAY_30612",-0.278166693976963,0.000837408444852806
"FAY_30615",-0.179602000976459,-0.222902252027948
"FAY_30616",-0.276626195915491,0.00347740002227905
"FAY_30619",-0.227176882234466,0.051081306123882
"FAY_30620",-0.324059010999291,-0.0864106386592872
"FAY_30621",-0.311192312542393,-0.00740131062134478
"FAY_30622",-0.287751306005201,0.294872710239681
"FAY_30623",-0.177497849001743,0.0336227863374648
"FAY_30624",-0.285719604809249,0.133458341141047
"FAY_30625",-0.327985201576727,-0.144443642913358
"FAY_30626",-0.228816705318566,0.110027124137811
"FAY_30627",0.00986903063881231,0.0842031220224676
"FAY_30628",-0.148166924337144,0.0513463623780262
"FAY_30631",-0.280009196017325,0.301992536861242
"FAY_30632",-0.299116226492169,0.231690060867381
"FAY_30633",-0.195949962509811,-0.0160874564430437
"FAY_30634",-0.295059600318909,0.180626404969865
"FAY_30635",-0.275075248898338,0.0188158995600175
"FAY_30636",-0.238028472603814,0.0184652911805387
"FAY_30637",-0.304055243079082,0.234728605130496
"FAY_30638",-0.240948646145958,0.0395044131746175
"FAY_30639",-0.204243076228996,-0.0153416481524797
"FAY_30640",-0.302014933623395,0.0447179827886571
"FAY_30642",-0.109168895276754,0.0254461444346409
"FAY_30643",-0.141878114956006,0.0013333206908386
"FAY_30644",-0.25403831261465,0.00274996009411971
"FAY_30645",-0.188722411991313,0.0602441507316052
"FAY_30646",-0.135973200929713,0.0551376082831816
"FAY_30648",-0.194478321826152,0.108966429472983
"FAY_30649",-0.235425282195147,0.053570482836504
"FAY_30650",-0.24135262132521,0.0863209555667155
"FAY_30651",-0.166214070663554,0.0143352120207328
"FAY_30653",-0.312280360527343,-0.0450901189835325
"FAY_30654",-0.261952097109994,0.0815945823219047
"FAY_30655",-0.249168050696836,0.000773697074651294
"FAY_30656",-0.213419063470466,0.0512964762371377
"FAY_30657",-0.160625751995005,0.0430463027352945
"FAY_30661",-0.0994044033972389,0.0623391002170598
"FAY_30664",-0.308476407671188,0.249901888447182
"FAY_30666",-0.293332036508579,0.0263430859388848
"FAY_30668",-0.254601313508125,0.230160176768365
"FAY_30670",-0.136529600960833,0.0448624316787744
"FAY_30671",-0.28998755771887,0.279467487506289
"FAY_30672",-0.336456444392886,-0.068804333108905
"FAY_30673",-0.243217592177501,0.024136328352909
"FAY_30675",-0.0561394110889405,0.0195327674652076
"FAY_30676",-0.180416460121582,0.0624040746300952
"FAY_30677",-0.181295709177867,0.061101553915606
"FAY_30683",-0.154281743818746,0.0452226121303981
"FAY_30684",-0.275087565195108,-0.0755409008549276
"FAY_30685",0.0473187897367721,-0.0323527952031423
"FAY_30686",-0.316003965806698,-0.210017127169826
"FAY_30688",-0.104569594406562,0.0496538000329494
"FAY_30690",-0.172975779704399,0.0248428915199199
"FAY_30691",-0.224027342881425,0.015970651081758
"FAY_30692",-0.191489833369577,-0.0138906988424923
"FAY_30699",-0.275213791809293,-0.048456878513835
"FAY_30717",-0.166789566790134,0.07920354689903
"FAY_30718",-0.175000186552584,-0.0620011961285557
"FAY_30719",-0.330933793192311,0.0866405905929735
"FAY_30720",0.109877791431981,-0.0634131899147478
"FAY_30722",-0.271338993203395,-0.0265404607306663
"FAY_30724",-0.2428367520203,0.0424907282731379
"FAY_30727",-0.167916142247754,0.0236911293372388
"FAY_30729",-0.043973662074951,-0.0492780784205051
"FAY_30734",-0.197748802467207,0.100384614856397
"FAY_30735",-0.291167399256204,-0.0918247636564536
"FAY_30877",-0.335302838177328,0.0749090476064727
"FAY_1232",-0.150765043478213,0.0418527303432232
"FAY_1240",-0.326252046432863,-0.0165597439915714
"FAY_1256",-0.328651865130628,0.11156514227561
"FAY_1275",-0.258738359822158,0.0856025012767788
"FAY_1292",-0.190535689931599,0.0811558951213086
"FAY_1296",-0.211945938523745,0.0730805725123442
"FAY_1298",-0.120721229145334,0.0891711658360869
"FAY_1299",-0.120553163877118,-0.0232010201611114
"FAY_1300",-0.235609874497665,0.121590521070649
"FAY_15709",-0.303592335686611,0.200267908082517
"FAY_15711",-0.174341545852574,0.0132948911123491
"FAY_15714",-0.333106256067331,0.029367660551592
"FAY_15717",-0.0324812963720675,0.211754858816989
"FAY_15725",-0.298217991537624,0.096617584516872
"FAY_15735",-0.0957767534430419,-0.0737891451347939
"FAY_15739",-0.253578765924924,-0.0135673622313077
"FAY_15742",-0.235097376527135,0.311351511236948
"FAY_15746",-0.221482161178327,0.0187406094709442
